,Restuarantid,Restaurant,Restaurant_Type,Price_for_two,Cuisine,Location,Area,Link,Timing,Dining_Review_Count,Dining_Rating,Delivery_Rating,Delivery_Review_Count,Price per Person,Rating Category,Total Review Count,Popularity score,price range category
174,175,Secret Of Bangalore,"Italian, Continental, Asian, Pizza, Pasta, Desserts, Beverages",1600,Italian," Rajarajeshwari Nagar, Bangalore",Rajarajeshwari Nagar,https://www.zomato.com/bangalore/secret-of-bangalore-rajarajeshwari-nagar-bangalore/info,11am – 1am (Today),5270,4.3,3.5,253,800,Good,5523,23749.9,Medium
175,176,Sly Granny,"Continental, Italian, Salad, Sandwich, Pizza, Middle Eastern, Desserts",2500,Continental," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/sly-granny-indiranagar-bangalore/info,12noon – 11:30pm (Today),1550,4.4,3.7,419,1250,Good,1969,8664.6,High
176,177,Jugni Kitchen & Bar,"North Indian, Modern Indian, Bar Food, Seafood, South Indian, Desserts, Beverages",1600,North Indian," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bangalore/jugni-kitchen-bar-koramangala-5th-block-bangalore/info,12noon – 11:30pm (Today),295,4.4,0.0,2,800,Good,297,1307.8,Medium
177,178,Gulp Cocktails And Kitchen,"North Indian, Continental, Mughlai, South Indian, Modern Indian, Pasta, Pizza, Chinese",1500,North Indian," Banashankari, Bangalore",Banashankari,https://www.zomato.com/bangalore/gulp-cocktails-and-kitchen-banashankari-bangalore/info,12noon – 12midnight (Today),790,4.1,0.0,0,750,Good,790,3240.0,Medium
178,179,Sidewalk Bar & Kitchen,"North Indian, Continental, Chinese, Fast Food, Beverages",1800,North Indian," Marathahalli, Bangalore",Marathahalli,https://www.zomato.com/bangalore/sidewalk-bar-kitchen-marathahalli-bangalore/info,12noon – 1am (Today),6638,4.3,4.0,3254,900,Good,9892,42536.6,Medium
179,180,Chianti,"Italian, Pizza, Pasta, Desserts, Salad",1800,Italian," Forum Falcon City Mall, Kanakapura Roaad, Bangalore",Forum Falcon City Mall,https://www.zomato.com/bangalore/chianti-kanakapura-road-bangalore/info,Opens tomorrow at 12noon,1392,4.8,4.3,377,900,Excellent,1769,8492.2,Medium
180,181,Public - The Rooftop Bar And Kitchen,"North Indian, Biryani, Oriental, Pizza, Continental",1200,North Indian," Bannerghatta Road, Bangalore",Bannerghatta Road,https://www.zomato.com/bangalore/public-the-rooftop-bar-and-kitchen-bannerghatta-road-bangalore/info,11am – 12midnight (Today),3025,4.2,3.9,272,600,Good,3297,13848.4,Medium
181,182,Melange,"North Indian, South Indian, Continental, Italian, Desserts",3500,North Indian," Radisson Blu, Marathahalli, Bangalore",Radisson Blu,https://www.zomato.com/bangalore/melange-marathahalli-bangalore/info,24 Hours (Today),1603,4.1,3.8,21,1750,Good,1624,6659.4,High
182,183,Umbaa Pub And Kitchen,"Bar Food, North Indian, Mughlai, Continental, Beverages",1500,Bar Food," ITPL Main Road, Whitefield, Bangalore",ITPL Main Road,https://www.zomato.com/bangalore/umbaa-pub-and-kitchen-1-itpl-main-road-whitefield-bangalore/info,11am – 12:30am (Today),1850,4.5,0.0,0,750,Excellent,1850,8326.0,Medium
183,184,Masala Mandi,"North Indian, BBQ, Biryani, Desserts, Beverages, Mughlai",1800,North Indian," Sarjapur Road, Bangalore",Sarjapur Road,https://www.zomato.com/bangalore/masala-mandi-sarjapur-road-bangalore/info,"12noon – 4pm, 6:30pm – 11:30pm (Today)",3822,4.3,4.0,3627,900,Good,7449,32031.7,Medium
184,185,Skyline Rooftop Bar & Kitchen,"Chinese, Italian, Fast Food, North Indian, Kebab, Biryani, Continental, Beverages",1800,Chinese," Livin Hub Hotel, Bangalore",Livin Hub Hotel,https://www.zomato.com/bangalore/skyline-rooftop-bar-kitchen-marathahalli-bangalore/info,12noon – 12midnight (Today),1409,4.4,3.6,70,900,Good,1479,6508.6,Medium
185,186,The Big Barbeque,"BBQ, Pizza, North Indian, Pasta, Desserts, Beverages",2000,BBQ," Marathahalli, Bangalore",Marathahalli,https://www.zomato.com/bangalore/the-big-barbeque-marathahalli-bangalore/info,Opens tomorrow at 11:30am,9195,4.3,3.5,2201,1000,Good,11396,49003.8,Medium
186,187,Cafe Grey By Dongle & Co,"Cafe, Coffee, Beverages, Continental, Pizza, Italian, Salad, Desserts",1200,Cafe," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/cafe-grey-by-dongle-co-indiranagar-bangalore/info,Opens tomorrow at 9am,1649,4.4,3.8,276,600,Good,1925,8471.0,Medium
187,188,Grazers Resto - Bar,"North Indian, Salad, Continental, Burger, Pizza, Fast Food, Asian, Bar Food",1200,North Indian," Jayanagar, Bangalore",Jayanagar,https://www.zomato.com/bangalore/grazers-resto-bar-jayanagar-bangalore/info,10:30am – 12midnight (Today),1069,4.2,3.6,3341,600,Good,4410,18523.0,Medium
188,189,Hakuna Matata,"North Indian, Asian, Seafood, Chinese, Biryani, Fast Food, Desserts, Beverages",1700,North Indian," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/hakuna-matata-jp-nagar/info,12noon – 12midnight (Today),7118,4.4,4.2,5135,850,Good,12253,53914.2,Medium
189,190,LUPA,"Mediterranean, European, Italian, Salad, Desserts, Beverages",5000,Mediterranean," MG Road, Bangalore",MG Road,https://www.zomato.com/bangalore/lupa-mg-road-bangalore/info,"12noon – 3:30pm, 7pm – 12midnight (Today)",142,3.3,0.0,0,2500,Average,142,469.6,High
190,191,Poco A Poco - Global Food & Music,"Continental, Chinese, North Indian, Italian, Desserts, Asian, South Indian, Beverages",1000,Continental," Whitefield, Bangalore",Whitefield,https://www.zomato.com/bangalore/poco-a-poco-global-food-music-whitefield-bangalore/info,Opens tomorrow at 12noon,311,4.5,4.0,58,500,Excellent,369,1661.5,Low
191,192,Fenny's Lounge And Kitchen,"Mediterranean, Continental, Italian, Desserts, Beverages",1900,Mediterranean," Koramangala 7th Block, Bangalore",Koramangala 7th Block,https://www.zomato.com/bangalore/fennys-lounge-and-kitchen-koramangala-7th-block/info,"12midnight – 1am, 11:30am – 12midnight (Today)",11600,4.5,4.1,33,950,Excellent,11633,52349.5,Medium
192,193,Bamey's Restro Cafe,"Asian, Nepalese, Momos",950,Asian," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bameys/info,Opens tomorrow at 11:30am,1923,4.2,4.2,4779,475,Good,6702,28149.4,Low
193,194,Chowki Multicuisine Restaurant,"North Indian, Chinese, Seafood, Fast Food, Biryani, Sichuan, Desserts, Beverages",700,North Indian," Whitefield, Bangalore",Whitefield,https://www.zomato.com/bangalore/chowki-multicuisine-restaurant-whitefield-bangalore/info,12noon – 12midnight (Today),400,4.2,3.8,527,350,Good,927,3894.4,Low
194,195,Celeb’s Restobar,Bar Food,1300,Bar Food," Brookefield, Bangalore",Brookefield,https://www.zomato.com/bangalore/celebs-restobar-brookefield-bangalore/info,12:30pm – 12midnight (Today),389,4.3,0.0,0,650,Good,389,1673.7,Medium
195,196,Windmills,"Continental, North Indian, Mughlai, Kebab, Desserts",3500,Continental," Craftworks, Bangalore",Craftworks,https://www.zomato.com/bangalore/windmills-1-whitefield-bangalore/info,12noon – 12midnight (Today),7191,4.7,4.1,1461,1750,Excellent,8652,40665.4,High
196,197,Foxtrot,"North Indian, Mughlai, Biryani, Desserts, Beverages",1900,North Indian," Marathahalli, Bangalore",Marathahalli,https://www.zomato.com/bangalore/foxtrot-marathahalli-bangalore/info,12noon – 12midnight (Today),3091,4.2,4.3,493,950,Good,3584,15053.8,Medium
197,198,Inanna Tap Room,"Chinese, North Indian, Burger, Pizza, Italian, Desserts",2000,Chinese," Bannerghatta Road, Bangalore",Bannerghatta Road,https://www.zomato.com/bangalore/inanna-tap-room-bannerghatta-road-bangalore/info,12noon – 12:30am (Today),3243,4.2,3.6,413,1000,Good,3656,15356.2,Medium
198,199,La Casa Brewery And Kitchen,"Continental, North Indian, Mughlai, Chinese, Finger Food, Steak, Desserts, Beverages",2000,Continental," Sarjapur Road, Bangalore",Sarjapur Road,https://www.zomato.com/bangalore/la-casa-brewery-and-kitchen-sarjapur-road-bangalore/info,12noon – 1am (Today),7524,4.3,4.2,2157,1000,Good,9681,41629.3,Medium
199,200,Aroma's Hyderabad House,"Hyderabadi, Biryani, North Indian, Mughlai, Chinese, Seafood, Kebab, Beverages",950,Hyderabadi," Marathahalli, Bangalore",Marathahalli,https://www.zomato.com/bangalore/aromas-hyderabad-house-marathahalli-bangalore/info,"12midnight – 1am, 11:30am – 4:30pm, 6:30pm – 12midnight (Today)",827,4.2,4.1,3767,475,Good,4594,19295.8,Low
200,201,Paragon Restaurant - Since 1939,"Kerala, Oriental, South Indian, Chinese, Seafood, Desserts, Beverages, North Indian",1000,Kerala," 1 Sobha, Bangalore",1 Sobha,https://www.zomato.com/bangalore/paragon-restaurant-since-1939-st-marks-road-bangalore/info,8:30am – 11:30pm (Today),86,4.0,4.3,2169,500,Good,2255,9021.0,Low
201,202,Thelagram,"North Indian, Street Food, Desserts, Beverages",800,North Indian," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/thelagram-jp-nagar-bangalore/info,"12midnight – 1am, 12noon – 12midnight (Today)",626,4.4,4.3,223,400,Good,849,3736.6,Low
202,203,XOOX Brewmill,"North Indian, Continental, American, Italian, Asian, Modern Indian, Pizza, Desserts",2500,North Indian," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bangalore/xoox-brewmill-koramangala-5th-block-bangalore/info,12noon – 1am (Today),7188,4.3,3.8,178,1250,Good,7366,31674.8,High
203,204,Moplah's,"Kerala, Biryani, Seafood, Beverages, Ice Cream, Desserts",1700,Kerala," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bangalore/moplahs-koramangala-5th-block-bangalore/info,Opens tomorrow at 12noon,384,4.5,4.3,532,850,Excellent,916,4123.0,Medium
204,205,Tall Oaks,"Asian, Continental, North Indian, Chinese, Seafood, Mexican, Bar Food, South Indian",1200,Asian," Seegehalli, Bangalore",Seegehalli,https://www.zomato.com/bangalore/tall-oaks-seegehalli-bangalore/info,12noon – 11:30pm (Today),215,0.0,0.0,0,600,Below Average,215,1.0,Medium
205,206,Bombay Adda,"Continental, North Indian, Asian, Pizza, Fast Food, Kebab, Desserts, Beverages",2000,Continental," Koramangala 7th Block, Bangalore",Koramangala 7th Block,https://www.zomato.com/bangalore/bombay-adda-koramangala-7th-block-bangalore/info,12noon – 1am (Today),7095,4.2,0.0,0,1000,Good,7095,29800.0,Medium
206,207,Lush - Renaissance Hotel,"North Indian, Continental, Chinese, Fast Food",3500,North Indian," Renaissance Hotel, Race Course Road, Bangalore",Renaissance Hotel,https://www.zomato.com/bangalore/lush-renaissance-hotel-race-course-road-bangalore/info,Opens tomorrow at 7am,1539,4.4,4.4,157,1750,Good,1696,7463.4,High
207,208,154 Breakfast Club,"Burger, Cafe, Sandwich, Street Food, Fast Food, Pancake, Asian, Desserts",1100,Burger," Koramangala 4th Block, Bangalore",Koramangala 4th Block,https://www.zomato.com/bangalore/154-breakfast-club-koramangala-4th-block-bangalore/info,Opens tomorrow at 8am,3136,3.9,4.4,2170,550,Average,5306,20694.4,Medium
208,209,BumbleBee Brauhaus,"Thai, Chinese, South Indian, Continental, North Indian, Italian, Desserts, Beverages",2600,Thai," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/bumblebee-brauhaus-indiranagar-bangalore/info,6am – 1am (Today),2571,3.9,3.5,68,1300,Average,2639,10293.1,High
209,210,The Peak,"Continental, Mangalorean",1000,Continental," Sahakara Nagar, Bangalore",Sahakara Nagar,https://www.zomato.com/bangalore/the-peak-2-sahakara-nagar-bangalore/info,12noon – 12midnight (Today),954,4.3,0.0,0,500,Good,954,4103.2,Low
210,211,Brik Oven,"Pizza, Fast Food, Desserts, Beverages",1200,Pizza," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/brik-oven-indiranagar-bangalore/info,"8am – 11am, 11:30am – 12midnight (Today)",874,4.4,4.0,2665,600,Good,3539,15572.6,Medium
211,212,Toca Terrace,"South Indian, North Indian, Continental, Chinese, Seafood, Pasta",1100,South Indian," Brigade Road, Bangalore",Brigade Road,https://www.zomato.com/bangalore/toca-terrace-brigade-road-bangalore/info,"12midnight – 12:45am, 11am – 12midnight (Today)",201,4.1,0.0,0,550,Good,201,825.1,Medium
212,213,The Irish House,"European, American, Italian, BBQ, Beverages, Desserts",2000,European," RMZ Ecoworld, Bellandur, Bangalore",RMZ Ecoworld,https://www.zomato.com/bangalore/the-irish-house-bellandur/info,12noon – 11:45pm (Today),2927,4.2,4.2,179,1000,Good,3106,13046.2,Medium
213,214,The Fisherman's Wharf,"North Indian, Chinese, Seafood, Goan, Finger Food, Continental, Desserts, Beverages",1900,North Indian," Sarjapur Road, Bangalore",Sarjapur Road,https://www.zomato.com/bangalore/the-fishermans-wharf-sarjapur-road/info,Opens tomorrow at 12noon,5905,4.1,4.1,1950,950,Good,7855,32206.5,Medium
214,215,Chai Point,"Tea, Coffee, Beverages, Shake, Fast Food, Rolls, Desserts",550,Tea," Kumaraswamy Layout, Bangalore",Kumaraswamy Layout,https://www.zomato.com/bangalore/chai-point-kumaraswamy-layout-bangalore/info,24 Hours (Today),24,3.8,3.9,345,275,Average,369,1403.2,Low
215,216,Just BLR,"North Indian, Chinese, Biryani, Beverages",2500,North Indian," Brigade Road, Bangalore",Brigade Road,https://www.zomato.com/bangalore/just-blr-1-brigade-road-bangalore/info,11am – 1am (Today),8202,4.4,0.0,0,1250,Good,8202,36089.8,High
216,217,Khmer Kitchen,"Chinese, Asian, Thai, Japanese",2500,Chinese," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/khmer-kitchen-jp-nagar-bangalore/info,Opens tomorrow at 11:30am,1743,4.5,4.3,1074,1250,Excellent,2817,12677.5,High
217,218,California Burrito,"Mexican, Healthy Food, American, Salad, Fast Food, Beverages",450,Mexican," Bannerghatta Road, Bangalore",Bannerghatta Road,https://www.zomato.com/bangalore/california-burrito-bannerghatta-road/info,Opens tomorrow at 11am,1402,4.3,4.5,11900,225,Good,13302,57199.6,Low
218,219,Roastea,"Tea, Asian, Chinese, Continental, Italian, Fast Food, Healthy Food, Desserts",1400,Tea," Koramangala 4th Block, Bangalore",Koramangala 4th Block,https://www.zomato.com/bangalore/roastea-koramangala-4th-block-bangalore/info,Opens tomorrow at 9am,68,0.0,0.0,0,700,Below Average,68,1.0,Medium
219,220,Stories Bar & Kitchen,"Bar Food, Chinese, North Indian, Italian, Pizza, Seafood, Desserts",1400,Bar Food," Rajarajeshwari Nagar, Bangalore",Rajarajeshwari Nagar,https://www.zomato.com/bangalore/stories-bar-kitchen-rajarajeshwari-nagar-bangalore/info,12noon – 1am (Today),4418,4.4,4.0,378,700,Good,4796,21103.4,Medium
220,221,We: Neighborhood,"European, American, North Indian, Burger, Pizza, Desserts, Beverages",1400,European," Brigade Road, Bangalore",Brigade Road,https://www.zomato.com/bangalore/we-neighborhood-brigade-road-bangalore/info,"12midnight – 1am, 11:30am – 12midnight (Today)",5797,4.4,0.0,0,700,Good,5797,25507.8,Medium
221,222,Bob's Bar,"South Indian, Biryani, Sandwich, Desserts, Bakery, Beverages",1400,South Indian," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/bobs-bar-1-indiranagar-bangalore/info,11am – 1am (Today),1805,4.2,4.1,3327,700,Good,5132,21555.4,Medium
222,223,The Cosmic Burger,"Burger, Wraps, Sandwich, Fast Food, Desserts, Shake, Beverages",400,Burger," Koramangala 5th Block, Bangalore",Koramangala 5th Block,https://www.zomato.com/bangalore/the-cosmic-burger-koramangala-5th-block-bangalore/info,24 Hours (Today),28,3.5,3.7,1011,200,Average,1039,3637.5,Low
223,224,Skyye,"Continental, Asian, Thai, Seafood, Italian, Beverages, Desserts",2200,Continental," UB City, Bangalore",UB City,https://www.zomato.com/bangalore/skyye-lavelle-road/info,Not Provided,3963,4.3,4.0,9,1100,Good,3972,17080.6,High
224,225,Caffé Allora,"Pizza, Italian, Pasta",1500,Pizza," Phoenix Mall of Asia, Hebbal, Bengaluru, Bangalore",Phoenix Mall of Asia,https://www.zomato.com/bangalore/caffé-allora-hebbal-bangalore/info,Opens tomorrow at 10:30am,106,4.5,0.0,0,750,Excellent,106,478.0,Medium
225,226,Bombay Brasserie,"North Indian, Biryani, Fast Food, Desserts, Tea",2000,North Indian," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/bombay-brasserie-indiranagar/info,Opens tomorrow at 12noon,2572,4.5,4.1,766,1000,Excellent,3338,15022.0,Medium
226,227,Dyu Art Cafe,"Cafe, Continental, Burger, Sandwich, Pizza, Fast Food, Desserts, Beverages",850,Cafe," Koramangala 8th Block, Bangalore",Koramangala 8th Block,https://www.zomato.com/bangalore/dyu-art-cafe-koramangala-8th-block-bangalore/info,Opens tomorrow at 10am,4699,4.3,4.3,612,425,Good,5311,22838.3,Low
227,228,Toscano,"Italian, Pizza, Pasta, Continental, Desserts, Steak, Seafood, Beverages",1800,Italian," Varthur Main Road, Whitefield, Bangalore",Varthur Main Road,https://www.zomato.com/bangalore/toscano-varthur-main-road-whitefield-bangalore/info,Opens tomorrow at 12noon,1017,4.6,4.2,3553,900,Excellent,4570,21023.0,Medium
228,229,Altitude Kitchen & Bar,"Chinese, Seafood, North Indian, Kebab, Pizza, Finger Food, Biryani, Desserts",1800,Chinese," Basaveshwara Nagar, Bangalore",Basaveshwara Nagar,https://www.zomato.com/bangalore/altitude-kitchen-bar-basaveshwara-nagar-bangalore/info,12noon – 1am (Today),910,4.2,0.0,0,900,Good,910,3823.0,Medium
229,230,Kyba- Sushi Dim Sums & More,"Chinese, Thai, Sushi, Japanese, Asian, Seafood, Desserts",1400,Chinese," Sahakara Nagar, Bangalore",Sahakara Nagar,https://www.zomato.com/bangalore/kyba-sushi-dim-sums-more-sahakara-nagar-bangalore/info,12noon – 11:30pm (Today),425,4.7,4.1,456,700,Excellent,881,4141.7,Medium
230,231,Shelby Rooftop Taproom & Kitchen,"Asian, North Indian",1400,Asian," Nagarbhavi, Bangalore",Nagarbhavi,https://www.zomato.com/bangalore/shelby-rooftop-taproom-kitchen-nagarbhavi-bangalore/info,12noon – 11:30pm (Today),301,4.3,3.5,20,700,Good,321,1381.3,Medium
231,232,Rasotsav,"Rajasthani, Gujarati, North Indian, Mithai",1200,Rajasthani," Forum Falcon City Mall, Kanakapura Roaad, Bangalore",Forum Falcon City Mall,https://www.zomato.com/bangalore/rasotsav-kanakapura-road-bangalore/info,"12noon – 3:30pm, 7pm – 11:30pm (Today)",341,4.3,4.2,444,600,Good,785,3376.5,Medium
232,233,LOFT38,"Italian, BBQ, Asian, North Indian, Fast Food, Beverages",2000,Italian," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/LOFT38/info,"12midnight – 12:30am, 11:30am – 12midnight (Today)",4959,4.1,4.0,11,1000,Good,4970,20378.0,Medium
233,234,Lucky Chan - Dimsum & Sushi Parlour,"Japanese, Chinese, Asian, Desserts, Beverages",1900,Japanese," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/lucky-chan-dimsum-sushi-parlour-indiranagar-bangalore/info,Opens tomorrow at 12noon,1920,4.4,4.1,750,950,Good,2670,11749.0,Medium
234,235,Flyover Drinkery,"Bar Food, Continental, Oriental, Asian, Pasta, North Indian, South Indian, Desserts",1800,Bar Food," Esteem Mall, Hebbal, Bangalore",Esteem Mall,https://www.zomato.com/bangalore/flyover-drinkery-hebbal-bangalore/info,12noon – 1am (Today),1522,4.4,0.0,0,900,Good,1522,6697.8,Medium
235,236,Hoy Punjab Restaurant,"North Indian, Mughlai, Chinese, Street Food, Oriental, Beverages",1800,North Indian," Whitefield, Bangalore",Whitefield,https://www.zomato.com/bangalore/hoy-punjab-restaurant-whitefield-bangalore/info,8am – 12midnight (Today),572,4.3,4.2,874,900,Good,1446,6218.8,Medium
236,237,Tiamo - Conrad Bengaluru,"Italian, Mediterranean, Fast Food",3000,Italian," Conrad Bengaluru, Ulsoor, Bangalore",Conrad Bengaluru,https://www.zomato.com/bangalore/tiamo-conrad-bengaluru-ulsoor/info,Opens tomorrow at 11am,718,4.0,0.0,0,1500,Good,718,2873.0,High
237,238,Salt - Indian Restaurant Bar & Grill,"North Indian, Rolls, Mughlai, Seafood, Biryani, Kebab, Desserts, Beverages",1800,North Indian," Nexus, Koramangala, Bangalore",Nexus,https://www.zomato.com/bangalore/salt-indian-restaurant-bar-grill-koramangala-7th-block-bangalore/info,Opens tomorrow at 12noon,3056,4.6,4.2,2235,900,Excellent,5291,24339.6,Medium
238,239,Ouro,"European, Mexican, Desserts",3000,European," Forum Rex Walk, Bangalore",Forum Rex Walk,https://www.zomato.com/bangalore/ouro-brigade-road-bangalore/info,"12noon – 4:30pm, 6pm – 12:30am (Today)",75,4.1,0.0,0,1500,Good,75,308.5,High
239,240,Bistro Claytopia,"Cafe, American, Italian, Modern Indian, Continental, Desserts, Beverages",1100,Cafe," Koramangala 1st Block, Bangalore",Koramangala 1st Block,https://www.zomato.com/bangalore/bistro-claytopia-koramangala-1st-block/info,Opens tomorrow at 11am,2565,3.7,4.0,596,550,Average,3161,11696.7,Medium
240,241,Spice Terrace - JW Marriott,"North Indian, Mughlai, Desserts",3500,North Indian," JW Marriott Bengaluru, Lavelle Road, Bangalore",JW Marriott Bengaluru,https://www.zomato.com/bangalore/spice-terrace-jw-marriott-lavelle-road/info,Opens tomorrow at 6:30pm,1145,4.2,0.0,0,1750,Good,1145,4810.0,High
241,242,Conçu,"Cafe, Fast Food",500,Cafe," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/conçu-indiranagar-bangalore/info,11am – 11:45pm (Today),302,4.3,4.5,393,250,Good,695,2989.5,Low
242,243,Yauatcha,"Chinese, Asian, Cantonese, Seafood, Tea, Desserts",3000,Chinese," 1 MG Road Mall, MG Road, Bangalore",1 MG Road Mall,https://www.zomato.com/bangalore/yauatcha-mg-road/info,Opens tomorrow at 12noon,3605,4.4,4.3,473,1500,Good,4078,17944.2,High
243,244,The Soda Factory,"North Indian, Chinese, Pasta, Pizza, Fast Food, Biryani, Desserts, Beverages",1100,North Indian," Nagarbhavi, Bangalore",Nagarbhavi,https://www.zomato.com/bangalore/the-soda-factory-nagarbhavi-bangalore/info,12:15pm – 11:30pm (Today),1335,4.3,4.1,296,550,Good,1631,7014.3,Medium
244,245,1882 - DoubleTree by Hilton Whitefield,"Continental, Asian, North Indian, Modern Indian",2000,Continental," DoubleTree by Hilton, Whitefield, Bengaluru, Bangalore",DoubleTree by Hilton,https://www.zomato.com/bangalore/1882-doubletree-by-hilton-whitefield-brookefield-bangalore/info,Opens tomorrow at 12:30pm,117,4.2,0.0,3,1000,Good,120,505.0,Medium
245,246,Gannet Bar & Kitchen,"Bar Food, North Indian, Mughlai, Seafood, Chinese, Continental, Oriental, Desserts",1800,Bar Food," Bommanahalli, Bangalore",Bommanahalli,https://www.zomato.com/bangalore/gannet-bar-kitchen-2-bommanahalli-bangalore/info,12:15pm – 11:45pm (Today),133,0.0,0.0,0,900,Below Average,133,1.0,Medium
246,247,Feast - Sheraton Grand Bengaluru Whitefield Hotel & Convention Centre,"Continental, South Indian, North Indian, Desserts, Beverages",3500,Continental," Sheraton Grand Bengaluru, Whitefield, Bangalore",Sheraton Grand Bengaluru,https://www.zomato.com/bangalore/feast-sheraton-grand-bengaluru-whitefield-hotel-convention-centre-whitefield-bangalore/info,Opens tomorrow at 6:30am,1089,4.5,4.0,103,1750,Excellent,1192,5365.0,High
247,248,Hopshaus,"Continental, North Indian, Chinese, Sichuan, Pizza, Asian, Finger Food, Desserts",900,Continental," Whitefield, Bangalore",Whitefield,https://www.zomato.com/bangalore/hopshaus-whitefield-bangalore/info,11:30am – 11:30pm (Today),975,4.2,4.2,521,450,Good,1496,6284.2,Low
248,249,Barista Coffee,"Cafe, Fast Food, Beverages, Desserts, Bakery",600,Cafe," Embassy Manyata Business Park,  Nagawara , Bangalore",Embassy Manyata Business Park,https://www.zomato.com/bangalore/barista-coffee-nagawara-bangalore/info,24 Hours (Today),81,3.7,4.1,339,300,Average,420,1555.0,Low
249,250,Sector 144,"North Indian, Chinese, Kebab, Mughlai, Italian, Fast Food, Desserts, Bar Food",1100,North Indian," Electronic City, Bangalore",Electronic City,https://www.zomato.com/bangalore/sector-144-electronic-city-bangalore/info,12noon – 12midnight (Today),841,4.4,0.0,0,550,Good,841,3701.4,Medium
250,251,1522 - The Pub,"Chinese, North Indian, Mughlai, Finger Food, Seafood",1800,Chinese," JP Nagar, Bangalore",JP Nagar,https://www.zomato.com/bangalore/1522-the-pub-jp-nagar-bangalore/info,"12midnight – 12:30am, 11:30am – 12midnight (Today)",1862,4.3,4.1,1551,900,Good,3413,14676.9,Medium
251,252,Olive Beach,"Italian, Pizza, Mediterranean, Continental, European, Beverages, Desserts",3500,Italian," Richmond Road, Bangalore",Richmond Road,https://www.zomato.com/bangalore/olive-beach-richmond-road-bangalore/info,Opens tomorrow at 12noon,2527,4.4,4.0,27,1750,Good,2554,11238.6,High
252,253,Soka,"Bar Food, Continental",1000,Bar Food," Indiranagar, Bangalore",Indiranagar,https://www.zomato.com/bangalore/soka-indiranagar-bangalore/info,5pm – 1am (Today),32,4.2,0.0,0,500,Good,32,135.4,Low
253,254,Sstella Kitchen And Bar,"Asian, Chinese, Desserts, Beverages, Afghan",1000,Asian," Royal Meenakshi Mall, Bannerghatta Road, Bangalore",Royal Meenakshi Mall,https://www.zomato.com/bangalore/sstella-kitchen-and-bar-bannerghatta-road-bangalore/info,12noon – 11:30pm (Today),707,4.5,4.1,39,500,Excellent,746,3358.0,Low
254,255,The Kabab Studio - Goldfinch Hotel,"North Indian, Chinese, Continental, South Indian, Oriental, Italian, Kebab",1800,North Indian," Goldfinch Hotel, Seshadripuram, Bangalore",Goldfinch Hotel,https://www.zomato.com/bangalore/the-kabab-studio-goldfinch-hotel-seshadripuram-bangalore/info,"12noon – 3:30pm, 7pm – 11:30pm (Today)",1179,4.0,4.0,12,900,Good,1191,4765.0,Medium
255,256,Bar Moxy,"Bar Food, Coffee, Beverages, Desserts",2500,Bar Food," Navarathna Agrahara International Airport, Bangalore",Navarathna Agrahara International Airport,https://www.zomato.com/bangalore/bar-moxy-international-airport-bangalore/info,24 Hours (Today),7,3.9,0.0,0,1250,Average,7,28.3,High
256,257,2 MOONS,"Modern Indian, Continental, Asian",2100,Modern Indian," 1 MG Road Mall, MG Road, Bangalore",1 MG Road Mall,https://www.zomato.com/bangalore/2-moons-mg-road-bangalore/info,12noon – 12:30am (Today),693,4.4,0.0,2,1050,Good,695,3059.0,High
257,258,Shiro,"Japanese, Sushi, Asian, Desserts, Thai, Korean, Cantonese, Vietnamese",3500,Japanese," UB City, Bangalore",UB City,https://www.zomato.com/bangalore/shiro-lavelle-road/info,12noon – 12midnight (Today),3183,4.3,4.2,911,1750,Good,4094,17605.2,High
258,259,Garden City Beer Collective,"Pizza, Continental, Sushi, Asian, South Indian, Pasta, Desserts",2000,Pizza," Yelahanka, Bangalore",Yelahanka,https://www.zomato.com/bangalore/garden-city-beer-collective-yelahanka-bangalore/info,12noon – 11:30pm (Today),1758,4.4,4.1,164,1000,Good,1922,8457.8,Medium
259,260,Mirage,"Asian, Chinese, Thai, Beverages, Desserts",3000,Asian," 1 Sobha, Bangalore",1 Sobha,https://www.zomato.com/bangalore/mirage-st-marks-road-bangalore/info,5pm – 1am (Today),955,4.2,0.0,0,1500,Good,955,4012.0,High
